  98  741.13  479.41 18.002 0.005  0.493 0.007 
  99   40.98   71.81 18.002 0.005  0.485 0.007 
 100  737.10 1293.56 18.022 0.005  0.492 0.007 
 101 1103.17 1153.11 18.025 0.005  0.510 0.007 
 102  289.26  574.31 18.026 0.005  0.470 0.007 
 103   10.93  922.46 18.026 0.005  0.465 0.006 
 104  794.86 1021.82 18.039 0.006  1.095 0.010 
 105  489.18   46.15 18.044 0.005  0.472 0.007 
 106  329.60  445.21 18.053 0.004  0.477 0.006 
 107  185.88  273.45 18.054 0.004  0.487 0.006 
 108 1817.59  621.99 18.073 0.005  0.464 0.006 
 109  921.75  283.26 18.079 0.005  0.464 0.007 
 110  639.77  712.51 18.098 0.005  0.466 0.007 
 111 1784.31 1149.45 18.125 0.005  0.457 0.007 
 112  587.15  326.04 18.129 0.005  0.447 0.007 
 113  194.45   39.29 18.129 0.005  0.461 0.007 
 114  190.29  831.92 18.138 0.005  0.460 0.006 
 115 1020.16  302.24 18.139 0.005  0.458 0.007 
 116  510.62    3.08 18.157 0.005  0.432 0.007 
 117  629.65 1620.22 18.168 0.005  0.718 0.007 
 118  159.46  216.91 18.168 0.005  0.444 0.007 
 119 2033.35 1638.59 18.170 0.005  0.524 0.007 
 120  345.99  679.36 18.174 0.005  0.447 0.007 
 121  947.45  310.88 18.176 0.005  0.448 0.007 
 122 1145.43  654.16 18.181 0.005  0.449 0.007 
 123 1040.49   25.48 18.182 0.005  1.369 0.007 
 124   29.49  520.21 18.191 0.005  0.437 0.007 
 125   24.38 1098.49 18.198 0.005  0.439 0.007 
 126  453.62  958.61 18.199 0.005  1.155 0.007 
 127 1310.30  946.10 18.202 0.005  0.443 0.007 
 128  803.19  658.18 18.204 0.005  0.518 0.007 
 129  694.15 1211.62 18.210 0.005  0.453 0.007 
 130  381.11  135.49 18.210 0.005  0.448 0.007 
 131  504.28 1251.74 18.227 0.005  0.444 0.007 
 132 1098.00  419.39 18.234 0.005  1.203 0.007 
 133  915.35  531.41 18.237 0.005  0.455 0.007 
 134  235.58  446.06 18.242 0.005  0.447 0.007 
 135 1358.60 1230.23 18.242 0.005  0.444 0.007 
 136  969.65  147.89 18.247 0.005  0.452 0.007 
 137  350.16 1295.67 18.254 0.005  0.441 0.007 
 138 1170.59 1379.45 18.259 0.005  0.427 0.007 
 139  138.73  778.65 18.260 0.005  0.441 0.007 
 140   28.79    7.75 18.271 0.005  0.427 0.007 
 141  365.33  915.51 18.273 0.005  0.439 0.007 
 142 1050.56   96.60 18.285 0.005  0.443 0.007 
 143  598.67  323.85 18.294 0.005  0.442 0.007 
 144  820.01   92.05 18.304 0.005  1.516 0.008 
 145  175.37 1043.08 18.317 0.005  0.439 0.007 
 146  754.33  170.80 18.318 0.005  0.440 0.007 
 147 1607.46 1870.97 18.333 0.005  0.444 0.007 
 148 1253.84    7.00 18.338 0.005  0.792 0.007 
 149  211.00 1677.02 18.340 0.006  0.441 0.008 
 150 1117.77 1214.93 18.350 0.005  0.431 0.007 
 151  807.27  224.77 18.351 0.005  0.455 0.007 
 152  272.10  380.26 18.398 0.005  0.437 0.007 
 153    0.52  644.65 18.399 0.005  0.417 0.007 
 154  816.75  366.42 18.408 0.005  0.447 0.007 
 155  385.46 1161.57 18.408 0.005  0.426 0.007 
 156 1137.59 1314.47 18.419 0.005  1.563 0.008 
 157    9.74 1087.55 18.420 0.005  0.415 0.007 
 158 1995.27  813.14 18.421 0.005  0.435 0.007 
 159  623.40  770.48 18.431 0.005  0.441 0.007 
 160  390.87 1014.95 18.441 0.005  0.427 0.007 
 161  924.78  370.03 18.448 0.005  0.437 0.007 
 162   21.76  544.34 18.450 0.005  0.427 0.007 
 163  374.26  725.15 18.451 0.005  0.432 0.007 
 164  648.71  619.82 18.464 0.005  0.424 0.007 
 165 1547.70 1450.67 18.477 0.005  0.434 0.007 
 166 1021.92  355.83 18.485 0.005  0.427 0.007 
 167  499.95   28.62 18.491 0.005  0.420 0.007 
 168 1712.82 1262.91 18.501 0.005  0.433 0.007 
 169  219.66  294.52 18.502 0.005  0.427 0.007 
 170  720.39  319.73 18.505 0.005  0.439 0.007 
 171  729.67   65.58 18.506 0.006  0.464 0.008 
 172 1057.75 1993.46 18.509 0.005  1.047 0.007 
 173  492.87  460.47 18.512 0.005  0.450 0.007 
 174  649.86  329.27 18.520 0.005  0.438 0.007 
 175  300.95  499.79 18.529 0.005  0.427 0.007 
 176  124.77  134.18 18.533 0.005  0.433 0.007 
 177  888.85   20.61 18.539 0.005  0.408 0.007 
 178  993.20  114.91 18.542 0.005  0.429 0.007 
 179 1666.22 1441.24 18.545 0.005  0.444 0.007 
 180  890.50  447.12 18.545 0.005  0.437 0.007 
 181  431.32  719.30 18.553 0.005  0.408 0.007 
 182  676.19  126.23 18.554 0.005  0.440 0.007 
 183  566.46  753.32 18.560 0.005  0.439 0.007 
 184  481.67  733.40 18.561 0.005  0.439 0.007 
 185  739.61  536.19 18.562 0.005  0.427 0.007 
 186  139.55  249.19 18.585 0.005  0.423 0.007 
 187   51.27  114.27 18.588 0.007  0.453 0.010 
 188 1534.96  887.45 18.598 0.005  0.423 0.007 
 189  202.15  268.83 18.598 0.005  0.432 0.007 
 190 1286.31 1019.14 18.600 0.005  0.427 0.007 
 191  107.26 1272.53 18.601 0.005  0.434 0.007 
 192  346.62   37.75 18.601 0.005  0.434 0.007 
 193  280.40  463.40 18.606 0.005  0.442 0.007 
 194  984.93  135.87 18.608 0.005  0.431 0.007 
 195  311.94  536.34 18.619 0.005  0.433 0.007 
 196  140.76 1253.67 18.627 0.005  0.431 0.007 
 197   93.57   51.76 18.631 0.005  0.409 0.008 
 198  502.48   34.40 18.654 0.005  0.432 0.007 
 199  625.55  446.42 18.665 0.005  0.439 0.007 
 200  103.71   49.42 18.676 0.005  0.431 0.007 
 201  600.24  254.09 18.677 0.005  0.438 0.007 
 202  910.19  844.50 18.681 0.005  0.427 0.007 
 203   55.37 1002.60 18.682 0.005  0.433 0.007 
 204   15.15   68.21 18.683 0.005  0.422 0.007 
 205  882.37 1348.40 18.685 0.005  0.928 0.008 
 206 2023.05 1727.60 18.687 0.005  0.637 0.007 
 207  565.59  739.36 18.703 0.005  0.446 0.008 
 208  408.25  698.14 18.711 0.005  0.422 0.007 
 209   89.45  108.08 18.711 0.005  0.441 0.007 
 210  102.32   35.09 18.720 0.005  0.429 0.007 
 211  916.19   18.89 18.722 0.005  0.424 0.007 
 212   95.14  298.80 18.724 0.005  0.435 0.007 
 213 1181.67 1541.96 18.726 0.005  0.668 0.007 
 214 1357.58   12.40 18.728 0.005  0.485 0.007 
 215  420.20  387.04 18.732 0.005 -0.235 0.007 
 216  698.39  295.77 18.735 0.005  0.429 0.007 
 217  301.45  307.23 18.738 0.007  0.370 0.010 
 218   44.59 1292.48 18.741 0.005  0.437 0.007 
 219    4.70  171.80 18.753 0.005  0.415 0.007 
 220  239.54   17.84 18.754 0.005  0.425 0.007 
 221   19.43  156.47 18.762 0.005  0.421 0.007 
 222  333.03  692.63 18.763 0.005  0.447 0.007 
 223  228.31  760.93 18.769 0.005  0.441 0.007 
 224   60.72  138.12 18.775 0.006  0.441 0.009 
 225  650.66  445.95 18.775 0.005  0.433 0.007 
 226 1525.25 1758.34 18.776 0.005  0.460 0.007 
 227  541.43    1.33 18.780 0.006  0.405 0.008 
 228   21.33  295.50 18.786 0.005  0.433 0.007 
 229   37.87    4.19 18.788 0.007  0.411 0.009 
 230 1101.22  739.42 18.788 0.005  0.440 0.007 
 231  143.84  915.30 18.797 0.005  0.439 0.007 
 232  308.35  117.19 18.797 0.005  0.453 0.007 
 233  228.93 1913.50 18.798 0.005  1.199 0.008 
 234  882.29 1340.75 18.800 0.005  0.435 0.007 
 235 1178.21  267.42 18.802 0.005  0.450 0.007 
 236  676.07  260.46 18.810 0.005  0.429 0.007 
 237  306.66 1648.45 18.821 0.005  0.456 0.007 
 238  246.00  773.97 18.826 0.005  0.439 0.007 
 239 1598.28  164.68 18.831 0.005  0.451 0.008 
 240  229.90  352.65 18.836 0.005  0.441 0.007 
 241  657.84  193.58 18.839 0.005  0.444 0.007 
 242 1028.21 1502.94 18.841 0.005  0.429 0.007 
 243   37.52  324.97 18.845 0.005  0.426 0.007 
 244  409.04  460.52 18.850 0.005  0.446 0.007 
 245 1760.84 1048.92 18.854 0.005  0.433 0.007 
 246  482.51  675.05 18.855 0.005  0.440 0.007 
 247  713.03 1770.22 18.860 0.005  0.457 0.007 
 248  830.52  235.74 18.865 0.005  0.447 0.007 
 249  525.21 1830.17 18.866 0.005  0.939 0.008 
 250  328.28 1056.65 18.871 0.005  0.435 0.007 
 251  166.91  628.88 18.872 0.005  0.435 0.007 
 252  319.93   40.67 18.875 0.005  0.420 0.007 
 253  208.43   18.50 18.876 0.007  0.413 0.010 
 254 1442.60  486.74 18.880 0.006  0.461 0.008 
 255   -2.40 1069.18 18.881 0.009  0.420 0.012 
 256  447.11  802.80 18.882 0.005  0.453 0.007 
 257  402.99 1224.33 18.884 0.005  0.452 0.007 
